date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-10,13,11,0.0,3.3,3,92,04:32 PM,06:38 AM,08:51 AM,05:21 PM,9,9,12,9,50,86,80,5.6,1022,13,9,217,35,lorient
2019-12-11,11,10,0.0,5.1,3,99,05:05 PM,07:47 AM,08:52 AM,05:21 PM,5,6,10,6,65,54,69,12.9,1013,11,9,283,47,lorient
2019-12-12,13,11,0.0,3.3,3,100,05:47 PM,08:56 AM,08:53 AM,05:21 PM,9,8,12,8,74,96,82,13.8,999,13,9,265,51,lorient
2019-12-13,14,11,0.0,5.1,3,87,06:38 PM,10:01 AM,08:54 AM,05:22 PM,8,8,12,8,93,71,76,5.3,995,14,8,290,65,lorient
2019-12-14,13,12,0.0,6.9,3,79,07:40 PM,10:59 AM,08:54 AM,05:22 PM,9,10,13,10,70,48,78,5.4,1001,13,9,259,46,lorient
2019-12-15,12,11,0.0,8.7,3,72,08:50 PM,11:48 AM,08:55 AM,05:22 PM,6,8,12,8,62,49,69,4.7,1003,12,10,242,45,lorient
2019-12-16,11,10,0.0,3.2,3,65,10:05 PM,12:28 PM,08:56 AM,05:22 PM,8,8,11,8,21,100,84,20.4,1000,11,8,163,15,lorient
2019-12-17,11,9,0.0,8.7,3,58,11:22 PM,01:01 PM,08:57 AM,05:22 PM,6,8,11,8,23,53,74,8.1,1002,11,8,271,16,lorient
2019-12-18,13,11,0.0,5.1,3,50,No moonrise,01:29 PM,08:57 AM,05:23 PM,8,9,12,9,57,57,77,9.0,1007,13,10,180,39,lorient
2019-12-19,14,11,0.0,6.9,3,43,12:39 AM,01:54 PM,08:58 AM,05:23 PM,10,10,13,10,71,63,83,30.3,996,14,8,190,47,lorient
2019-12-20,12,11,0.0,8.6,3,36,01:55 AM,02:18 PM,08:59 AM,05:23 PM,7,8,11,8,55,67,77,12.9,986,12,8,242,40,lorient
